"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL21","826","testUpButtonGL21","Surefire suite","Sun Mar 09 18:44:03 GMT 2025","passed","Sun Mar 09 18:44:03 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testUpButtonGL21"
"Проверка работоспособности кнопки 'Наверх' в футере","152","testButton","Surefire suite","Sun Mar 09 18:44:28 GMT 2025","passed","Sun Mar 09 18:44:28 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testButton"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL21","1225","testGoToMainPageFromGL21","Surefire suite","Sun Mar 09 18:44:01 GMT 2025","passed","Sun Mar 09 18:44:03 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToMainPageFromGL21"
"Проверка корректности информации о компании в футере страницы Epolif Aqua","663","testFooterInformationAqua","Surefire suite","Sun Mar 09 18:44:19 GMT 2025","passed","Sun Mar 09 18:44:20 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testFooterInformationAqua"
"Проверка перехода на страницу Epolif GL7","551","testGoToGl7Page","Surefire suite","Sun Mar 09 18:44:30 GMT 2025","passed","Sun Mar 09 18:44:31 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl7Page"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif Aqua","1111","testGoToGl7FromAqua","Surefire suite","Sun Mar 09 18:44:23 GMT 2025","passed","Sun Mar 09 18:44:24 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl7FromAqua"
"Проверка перехода на страницу Epolif GL7 через клик на логотип","1234","testClickOnLogoGL7","Surefire suite","Sun Mar 09 18:44:33 GMT 2025","passed","Sun Mar 09 18:44:34 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testClickOnLogoGL7"
"Проверка перехода на страницу Epolif GL21","522","testGoToGl21Page","Surefire suite","Sun Mar 09 18:44:30 GMT 2025","passed","Sun Mar 09 18:44:30 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl21Page"
"Проверка перехода на страницу ACP1 через клик на логотип","3314","testClickOnLogoACP1","Surefire suite","Sun Mar 09 18:44:05 GMT 2025","passed","Sun Mar 09 18:44:09 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testClickOnLogoACP1"
"Проверка перехода на страницу Epolif GL21 через клик на логотип","1535","testClickOnLogoGL21","Surefire suite","Sun Mar 09 18:43:55 GMT 2025","passed","Sun Mar 09 18:43:56 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testClickOnLogoGL21"
