"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка работоспособности кнопки 'Наверх' в футере","151","testButton","Surefire suite","Sun Mar 09 18:48:17 GMT 2025","passed","Sun Mar 09 18:48:17 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testButton"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL21","767","testUpButtonGL21","Surefire suite","Sun Mar 09 18:47:54 GMT 2025","passed","Sun Mar 09 18:47:55 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testUpButtonGL21"
"Проверка наличия и корректности информации о компании в футере страницы Epolif GL7","699","testFooterInformationGL7","Surefire suite","Sun Mar 09 18:48:24 GMT 2025","passed","Sun Mar 09 18:48:25 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testFooterInformationGL7"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif Aqua","1099","testGoToGl7FromAqua","Surefire suite","Sun Mar 09 18:48:12 GMT 2025","passed","Sun Mar 09 18:48:13 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl7FromAqua"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL21","1029","testGoToACP1FromGL21","Surefire suite","Sun Mar 09 18:47:49 GMT 2025","passed","Sun Mar 09 18:47:50 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToACP1FromGL21"
"Проверка работоспособности кнопки 'Наверх' на странице ACP1","807","testUpButtonACP1","Surefire suite","Sun Mar 09 18:48:04 GMT 2025","passed","Sun Mar 09 18:48:05 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testUpButtonACP1"
"Проверка перехода на страницу Epolif GL7 через повторное нажатие на ссылку 'Epolif GL7'","916","testGoToGL7FromGL7","Surefire suite","Sun Mar 09 18:48:28 GMT 2025","passed","Sun Mar 09 18:48:29 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL7FromGL7"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif Aqua","1307","testGoToMainPageFromAqua","Surefire suite","Sun Mar 09 18:48:13 GMT 2025","passed","Sun Mar 09 18:48:14 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToMainPageFromAqua"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL21","1043","testGoToAquaPageFromGL21","Surefire suite","Sun Mar 09 18:47:50 GMT 2025","passed","Sun Mar 09 18:47:51 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToAquaPageFromGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице ACP1","1363","testGoToMainPageFromACP1","Surefire suite","Sun Mar 09 18:48:03 GMT 2025","passed","Sun Mar 09 18:48:04 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToMainPageFromACP1"
