"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректности информации о компании в футере страницы Epolif GL21","816","testFooterInformationGL21","Surefire suite","Sun Mar 09 18:18:23 GMT 2025","passed","Sun Mar 09 18:18:24 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testFooterInformationGL21"
"Проверка перехода на страницу Epolif GL21","571","testGoToGl21Page","Surefire suite","Sun Mar 09 18:19:00 GMT 2025","passed","Sun Mar 09 18:19:00 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl21Page"
"Проверка перехода на страницу Epolif GL21 через страницу ACP1","1090","testGoToGL21FromACP1","Surefire suite","Sun Mar 09 18:18:39 GMT 2025","passed","Sun Mar 09 18:18:40 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL21FromACP1"
"Проверка повторного перехода на страницу Epolif GL21 через страницу Epolif GL21","1146","testGoToGL21FromGL21","Surefire suite","Sun Mar 09 18:18:27 GMT 2025","passed","Sun Mar 09 18:18:28 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL21FromGL21"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL7","861","testUpButtonGL7","Surefire suite","Sun Mar 09 18:19:13 GMT 2025","passed","Sun Mar 09 18:19:14 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testUpButtonGL7"
"Проверка перехода на страницу Epolif ACP1 через страницу ACP1","1098","testGoToACP1FromACP1","Surefire suite","Sun Mar 09 18:18:36 GMT 2025","passed","Sun Mar 09 18:18:37 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToACP1FromACP1"
"Проверка корректности информации о компании в футере страницы Epolif Aqua","806","testFooterInformationAqua","Surefire suite","Sun Mar 09 18:18:47 GMT 2025","passed","Sun Mar 09 18:18:48 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testFooterInformationAqua"
"Проверка перехода на страницу Epolif GL7","671","testGoToGl7Page","Surefire suite","Sun Mar 09 18:19:00 GMT 2025","passed","Sun Mar 09 18:19:01 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl7Page"
"Проверка перехода на страницу Epolif Aqua через страницу ACP1","1290","testGoToAquaPageFromACP1","Surefire suite","Sun Mar 09 18:18:37 GMT 2025","passed","Sun Mar 09 18:18:39 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToAquaPageFromACP1"
"Проверка наличия и корректности информации о компании в футере","33","testFooterInformation","Surefire suite","Sun Mar 09 18:18:58 GMT 2025","passed","Sun Mar 09 18:18:58 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testFooterInformation"
"Проверка перехода на страницу Epolif ACP1","725","testGoToAcp1Page","Surefire suite","Sun Mar 09 18:18:58 GMT 2025","passed","Sun Mar 09 18:18:59 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAcp1Page"
"Проверка перехода на главную страницу по нажатию на ссылку 'Главная'","934","testGoToMainPage","Surefire suite","Sun Mar 09 18:19:01 GMT 2025","passed","Sun Mar 09 18:19:02 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToMainPage"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif Aqua","1221","testGoToAcp1FromAqua","Surefire suite","Sun Mar 09 18:18:48 GMT 2025","passed","Sun Mar 09 18:18:49 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAcp1FromAqua"
"Проверка перехода на страницу ACP1 через клик на логотип","1486","testClickOnLogoACP1","Surefire suite","Sun Mar 09 18:18:34 GMT 2025","passed","Sun Mar 09 18:18:35 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testClickOnLogoACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL21","873","testUpButtonGL21","Surefire suite","Sun Mar 09 18:18:30 GMT 2025","passed","Sun Mar 09 18:18:31 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testUpButtonGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif Aqua","1264","testGoToMainPageFromAqua","Surefire suite","Sun Mar 09 18:18:53 GMT 2025","passed","Sun Mar 09 18:18:54 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToMainPageFromAqua"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif GL21","1207","testGoToGL7FromGL21","Surefire suite","Sun Mar 09 18:18:28 GMT 2025","passed","Sun Mar 09 18:18:29 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL7FromGL21"
"Проверка перехода на страницу Epolif Aqua","727","testGoToAquaPage","Surefire suite","Sun Mar 09 18:18:59 GMT 2025","passed","Sun Mar 09 18:19:00 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAquaPage"
"Проверка наличия и корректности информации о компании в футере страницы Epolif GL7","686","testFooterInformationGL7","Surefire suite","Sun Mar 09 18:19:07 GMT 2025","passed","Sun Mar 09 18:19:08 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testFooterInformationGL7"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL7","1313","testGoToACP1FromGL7","Surefire suite","Sun Mar 09 18:19:08 GMT 2025","passed","Sun Mar 09 18:19:09 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToACP1FromGL7"
"Проверка перехода на страницу Epolif GL7 через клик на логотип","2016","testClickOnLogoGL7","Surefire suite","Sun Mar 09 18:19:05 GMT 2025","passed","Sun Mar 09 18:19:07 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testClickOnLogoGL7"
"Проверка работоспособности кнопки 'Наверх' в футере","150","testButton","Surefire suite","Sun Mar 09 18:18:58 GMT 2025","passed","Sun Mar 09 18:18:58 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testButton"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif Aqua","852","testUpButtonAqua","Surefire suite","Sun Mar 09 18:18:54 GMT 2025","passed","Sun Mar 09 18:18:55 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testUpButtonAqua"
