"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на страницу Epolif Aqua через клик на логотип","1433","testClickOnLogoAqua","Surefire suite","Sun Mar 09 18:17:15 GMT 2025","passed","Sun Mar 09 18:17:16 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testClickOnLogoAqua"
"Проверка перехода на страницу Epolif ACP1 через страницу ACP1","972","testGoToACP1FromACP1","Surefire suite","Sun Mar 09 18:17:06 GMT 2025","passed","Sun Mar 09 18:17:07 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToACP1FromACP1"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL21","1089","testGoToACP1FromGL21","Surefire suite","Sun Mar 09 18:16:56 GMT 2025","passed","Sun Mar 09 18:16:57 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToACP1FromGL21"
"Проверка корректности информации о компании в футере страницы Epolif Aqua","598","testFooterInformationAqua","Surefire suite","Sun Mar 09 18:17:16 GMT 2025","passed","Sun Mar 09 18:17:17 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testFooterInformationAqua"
"Проверка перехода на страницу Epolif GL21","512","testGoToGl21Page","Surefire suite","Sun Mar 09 18:17:28 GMT 2025","passed","Sun Mar 09 18:17:28 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl21Page"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif Aqua","1125","testGoToGl7FromAqua","Surefire suite","Sun Mar 09 18:17:20 GMT 2025","passed","Sun Mar 09 18:17:21 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl7FromAqua"
"Проверка перехода на страницу Epolif GL21 через клик на логотип","1435","testClickOnLogoGL21","Surefire suite","Sun Mar 09 18:16:53 GMT 2025","passed","Sun Mar 09 18:16:55 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testClickOnLogoGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL21","1214","testGoToMainPageFromGL21","Surefire suite","Sun Mar 09 18:17:00 GMT 2025","passed","Sun Mar 09 18:17:01 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToMainPageFromGL21"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL7","871","testUpButtonGL7","Surefire suite","Sun Mar 09 18:17:39 GMT 2025","passed","Sun Mar 09 18:17:40 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testUpButtonGL7"
"Проверка перехода на страницу Epolif Aqua через ссылку 'Epolif Aqua'","981","testGoToAquaPageFromAqua","Surefire suite","Sun Mar 09 18:17:18 GMT 2025","passed","Sun Mar 09 18:17:19 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAquaPageFromAqua"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL21","1097","testGoToAquaPageFromGL21","Surefire suite","Sun Mar 09 18:16:57 GMT 2025","passed","Sun Mar 09 18:16:58 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToAquaPageFromGL21"
"Проверка перехода на главную страницу по нажатию на логотип","549","testClickOnLogoMain","Surefire suite","Sun Mar 09 18:17:26 GMT 2025","passed","Sun Mar 09 18:17:26 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testClickOnLogoMain"
"Проверка перехода на страницу Epolif GL7","603","testGoToGl7Page","Surefire suite","Sun Mar 09 18:17:28 GMT 2025","passed","Sun Mar 09 18:17:29 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl7Page"
"Проверка перехода на страницу Epolif Aqua","723","testGoToAquaPage","Surefire suite","Sun Mar 09 18:17:27 GMT 2025","passed","Sun Mar 09 18:17:28 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAquaPage"
"Проверка перехода на страницу Epolif GL7 через повторное нажатие на ссылку 'Epolif GL7'","1003","testGoToGL7FromGL7","Surefire suite","Sun Mar 09 18:17:37 GMT 2025","passed","Sun Mar 09 18:17:38 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL7FromGL7"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице ACP1","1177","testGoToMainPageFromACP1","Surefire suite","Sun Mar 09 18:17:11 GMT 2025","passed","Sun Mar 09 18:17:12 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToMainPageFromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL21","818","testUpButtonGL21","Surefire suite","Sun Mar 09 18:17:01 GMT 2025","passed","Sun Mar 09 18:17:02 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testUpButtonGL21"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif GL7","997","testGoToGL21FromGL7","Surefire suite","Sun Mar 09 18:17:36 GMT 2025","passed","Sun Mar 09 18:17:37 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL21FromGL7"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif GL21","1098","testGoToGL7FromGL21","Surefire suite","Sun Mar 09 18:16:59 GMT 2025","passed","Sun Mar 09 18:17:00 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL7FromGL21"
"Проверка перехода на страницу Epolif Aqua через страницу ACP1","1229","testGoToAquaPageFromACP1","Surefire suite","Sun Mar 09 18:17:07 GMT 2025","passed","Sun Mar 09 18:17:08 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToAquaPageFromACP1"
"Проверка наличия промо видео на главной странице и его повторяемости","31","testVideo","Surefire suite","Sun Mar 09 18:17:29 GMT 2025","passed","Sun Mar 09 18:17:29 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testVideo"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif Aqua","1191","testGoToAcp1FromAqua","Surefire suite","Sun Mar 09 18:17:17 GMT 2025","passed","Sun Mar 09 18:17:18 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAcp1FromAqua"
"Проверка перехода на страницу Epolif GL21 через страницу ACP1","1005","testGoToGL21FromACP1","Surefire suite","Sun Mar 09 18:17:08 GMT 2025","passed","Sun Mar 09 18:17:09 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL21FromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице ACP1","808","testUpButtonACP1","Surefire suite","Sun Mar 09 18:17:12 GMT 2025","passed","Sun Mar 09 18:17:13 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testUpButtonACP1"
"Проверка наличия и корректности информации о компании в футере страницы Epolif GL7","666","testFooterInformationGL7","Surefire suite","Sun Mar 09 18:17:33 GMT 2025","passed","Sun Mar 09 18:17:33 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testFooterInformationGL7"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL7","1110","testGoToACP1FromGL7","Surefire suite","Sun Mar 09 18:17:33 GMT 2025","passed","Sun Mar 09 18:17:35 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToACP1FromGL7"
"Проверка работоспособности кнопки 'Наверх' в футере","655","testButton","Surefire suite","Sun Mar 09 18:17:25 GMT 2025","passed","Sun Mar 09 18:17:26 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testButton"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL7","1185","testGoToMainPageFromGL7","Surefire suite","Sun Mar 09 18:17:38 GMT 2025","passed","Sun Mar 09 18:17:39 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToMainPageFromGL7"
"Проверка наличия и корректности информации о компании в футере","39","testFooterInformation","Surefire suite","Sun Mar 09 18:17:26 GMT 2025","passed","Sun Mar 09 18:17:26 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testFooterInformation"
"Проверка перехода на страницу Epolif GL7 через клик на логотип","1385","testClickOnLogoGL7","Surefire suite","Sun Mar 09 18:17:31 GMT 2025","passed","Sun Mar 09 18:17:33 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testClickOnLogoGL7"
"Проверка информации о компании в футере страницы ACP1","827","testFooterInformationACP1","Surefire suite","Sun Mar 09 18:17:05 GMT 2025","passed","Sun Mar 09 18:17:06 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testFooterInformationACP1"
"Проверка перехода на страницу Epolif ACP1","583","testGoToAcp1Page","Surefire suite","Sun Mar 09 18:17:26 GMT 2025","passed","Sun Mar 09 18:17:27 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToAcp1Page"
"Проверка перехода на страницу Epolif GL7 через страницу ACP1","1107","testGoToGL7FromACP1","Surefire suite","Sun Mar 09 18:17:09 GMT 2025","passed","Sun Mar 09 18:17:11 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL7FromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif Aqua","754","testUpButtonAqua","Surefire suite","Sun Mar 09 18:17:22 GMT 2025","passed","Sun Mar 09 18:17:23 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testUpButtonAqua"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif Aqua","1196","testGoToMainPageFromAqua","Surefire suite","Sun Mar 09 18:17:21 GMT 2025","passed","Sun Mar 09 18:17:22 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToMainPageFromAqua"
"Проверка повторного перехода на страницу Epolif GL21 через страницу Epolif GL21","967","testGoToGL21FromGL21","Surefire suite","Sun Mar 09 18:16:58 GMT 2025","passed","Sun Mar 09 18:16:59 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL21FromGL21"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif Aqua","991","testGoToGl21FromAqua","Surefire suite","Sun Mar 09 18:17:19 GMT 2025","passed","Sun Mar 09 18:17:20 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl21FromAqua"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL7","1161","testGoToAquaPageFromGL7","Surefire suite","Sun Mar 09 18:17:35 GMT 2025","passed","Sun Mar 09 18:17:36 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToAquaPageFromGL7"
"Проверка перехода на страницу ACP1 через клик на логотип","1317","testClickOnLogoACP1","Surefire suite","Sun Mar 09 18:17:04 GMT 2025","passed","Sun Mar 09 18:17:05 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testClickOnLogoACP1"
"Проверка перехода на главную страницу по нажатию на ссылку 'Главная'","637","testGoToMainPage","Surefire suite","Sun Mar 09 18:17:29 GMT 2025","passed","Sun Mar 09 18:17:29 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToMainPage"
"Проверка корректности информации о компании в футере страницы Epolif GL21","774","testFooterInformationGL21","Surefire suite","Sun Mar 09 18:16:55 GMT 2025","passed","Sun Mar 09 18:16:56 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testFooterInformationGL21"
