"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка повторного перехода на страницу Epolif GL21 через страницу Epolif GL21","938","testGoToGL21FromGL21","Surefire suite","Sun Mar 09 19:24:29 GMT 2025","passed","Sun Mar 09 19:24:30 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL21FromGL21"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL7","842","testUpButtonGL7","Surefire suite","Sun Mar 09 19:25:08 GMT 2025","passed","Sun Mar 09 19:25:08 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testUpButtonGL7"
"Проверка перехода на страницу Epolif GL7 через страницу ACP1","1093","testGoToGL7FromACP1","Surefire suite","Sun Mar 09 19:24:40 GMT 2025","passed","Sun Mar 09 19:24:41 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL7FromACP1"
"Проверка перехода на страницу Epolif GL21","512","testGoToGl21Page","Surefire suite","Sun Mar 09 19:24:57 GMT 2025","passed","Sun Mar 09 19:24:57 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl21Page"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL21","1018","testGoToAquaPageFromGL21","Surefire suite","Sun Mar 09 19:24:28 GMT 2025","passed","Sun Mar 09 19:24:29 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToAquaPageFromGL21"
"Проверка корректности информации о компании в футере страницы Epolif GL21","710","testFooterInformationGL21","Surefire suite","Sun Mar 09 19:24:26 GMT 2025","passed","Sun Mar 09 19:24:27 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testFooterInformationGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL7","1142","testGoToMainPageFromGL7","Surefire suite","Sun Mar 09 19:25:06 GMT 2025","passed","Sun Mar 09 19:25:08 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToMainPageFromGL7"
"Проверка перехода на страницу Epolif Aqua через страницу ACP1","1060","testGoToAquaPageFromACP1","Surefire suite","Sun Mar 09 19:24:38 GMT 2025","passed","Sun Mar 09 19:24:39 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToAquaPageFromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL21","754","testUpButtonGL21","Surefire suite","Sun Mar 09 19:24:32 GMT 2025","passed","Sun Mar 09 19:24:33 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testUpButtonGL21"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif GL7","963","testGoToGL21FromGL7","Surefire suite","Sun Mar 09 19:25:05 GMT 2025","passed","Sun Mar 09 19:25:06 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL21FromGL7"
"Проверка наличия промо видео на главной странице и его повторяемости","29","testVideo","Surefire suite","Sun Mar 09 19:24:59 GMT 2025","passed","Sun Mar 09 19:24:59 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testVideo"
"Проверка перехода на страницу Epolif Aqua через ссылку 'Epolif Aqua'","928","testGoToAquaPageFromAqua","Surefire suite","Sun Mar 09 19:24:48 GMT 2025","passed","Sun Mar 09 19:24:49 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAquaPageFromAqua"
"Проверка информации о компании в футере страницы ACP1","658","testFooterInformationACP1","Surefire suite","Sun Mar 09 19:24:36 GMT 2025","passed","Sun Mar 09 19:24:37 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testFooterInformationACP1"
"Проверка перехода на страницу Epolif ACP1 через страницу ACP1","892","testGoToACP1FromACP1","Surefire suite","Sun Mar 09 19:24:37 GMT 2025","passed","Sun Mar 09 19:24:38 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToACP1FromACP1"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL21","1183","testGoToMainPageFromGL21","Surefire suite","Sun Mar 09 19:24:31 GMT 2025","passed","Sun Mar 09 19:24:32 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToMainPageFromGL21"
"Проверка наличия и корректности информации о компании в футере страницы Epolif GL7","631","testFooterInformationGL7","Surefire suite","Sun Mar 09 19:25:02 GMT 2025","passed","Sun Mar 09 19:25:02 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testFooterInformationGL7"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице ACP1","1086","testGoToMainPageFromACP1","Surefire suite","Sun Mar 09 19:24:41 GMT 2025","passed","Sun Mar 09 19:24:42 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToMainPageFromACP1"
"Проверка перехода на страницу Epolif GL7","549","testGoToGl7Page","Surefire suite","Sun Mar 09 19:24:57 GMT 2025","passed","Sun Mar 09 19:24:58 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl7Page"
